chr	gene	nSNPs	nSims	start	stop	Test	geneBased.pval	adj.geneBased.pval	topSNP	topSNP.pval	adj.topSNP.pval	genome	cohort	outcome	disease	no.typed.snps
7	ABCB1	590	10000	87123178	87352639	896.501940905521	0.0397960203979602	6.64593540645935	rs10278483	0.00205526775181376	1.04202075016958	D	c1	DD	ALLonly	507
7	ABCB1	470	10000	87123178	87352639	917.156219511938	0.0356964303569643	5.96130386961304	rs28381787	0.00030908007209662	0.156703596552986	D	c2	DD	ALLonly	507
7	ABCB1	470	1000	87123178	87352639	484.923551239191	0.384615384615385	64.2307692307693	rs1186744	0.009053	4.589871	D	M	DD	ALLonly	507
7	ABCB1	470	1000	87123178	87352639	429.887811957463	0.526473526473527	87.921078921079	rs150515188	0.000245628465104121	0.124533631807789	D	c1	OS	ALLonly	507
7	ABCB1	470	1000	87123178	87352639	325.661610547884	0.736263736263736	122.956043956044	rs79849241	0.00162182124578636	0.822263371613685	D	c2	OS	ALLonly	507
7	ABCB1	470	1000	87123178	87352639	371.383985256949	0.612387612387612	102.268731268731	rs150515188	0.000334800000000004	0.169743600000002	D	M	OS	ALLonly	507
7	ABCB1	470	1000	87123178	87352639	267.063590540221	0.876123876123876	146.312687312687	rs150515188	0.00147145903164394	0.746029729043478	D	c1	PFS	ALLonly	507
7	ABCB1	470	1000	87123178	87352639	304.208402433809	0.794205794205794	132.632367632368	rs143014529	0.000538371208768107	0.27295420284543	D	c2	PFS	ALLonly	507
7	ABCB1	470	1000	87123178	87352639	270.392620716074	0.877122877122877	146.47952047952	rs150515188	0.00334100000000001	1.69388700000001	D	M	PFS	ALLonly	507
7	ABCB1	470	1000	87123178	87352639	684.457014345603	0.137862137862138	23.022977022977	rs10274623	0.000439391249376967	0.222771363434122	D	c1	TRM	ALLonly	507
7	ABCB1	470	1000	87123178	87352639	274.619219484183	0.855144855144855	142.809190809191	rs79849241	0.000873145764307862	0.442684902504086	D	c2	TRM	ALLonly	507
7	ABCB1	470	1000	87123178	87352639	519.216961407868	0.354645354645355	59.2257742257743	rs10274623	0.000438700000000006	0.222420900000003	D	M	TRM	ALLonly	507
7	ABCB1	590	1000	87123178	87352639	544.28851835963	0.291708291708292	48.7152847152848	rs80238698	0.00099959425399831	0.506794286777143	D	c1	DD	AMLonly	507
7	ABCB1	470	1000	87123178	87352639	226.132099734739	0.942057942057942	157.323676323676	rs112174094	0.00148155556563459	0.751148671776737	D	c2	DD	AMLonly	507
7	ABCB1	470	1000	87123178	87352639	402.337860008885	0.594405594405594	99.2657342657342	rs140228429	0.002611	1.323777	D	M	DD	AMLonly	507
7	ABCB1	470	1000	87123178	87352639	636.971619754998	0.183816183816184	30.6973026973027	rs140228429	0.000651905770847072	0.330516225819465	D	c1	OS	AMLonly	507
7	ABCB1	470	1000	87123178	87352639	376.207195460488	0.637362637362637	106.43956043956	rs112174094	0.000396435803746587	0.20099295249952	D	c2	OS	AMLonly	507
7	ABCB1	470	1000	87123178	87352639	505.04951076438	0.324675324675325	54.2207792207793	rs140228429	0.00060890000000001	0.308712300000005	D	M	OS	AMLonly	507
7	ABCB1	470	1000	87123178	87352639	509.041100426116	0.340659340659341	56.8901098901099	rs140228429	0.000223053033910457	0.113087888192602	D	c1	PFS	AMLonly	507
7	ABCB1	470	1000	87123178	87352639	408.706657143607	0.526473526473527	87.921078921079	rs112174094	0.00104238653998812	0.528489975773977	D	c2	PFS	AMLonly	507
7	ABCB1	470	1000	87123178	87352639	460.48369403206	0.434565434565435	72.5724275724276	rs140228429	0.000177499999999997	0.0899924999999985	D	M	PFS	AMLonly	507
7	ABCB1	470	10000	87123178	87352639	943.099099597504	0.0324967503249675	5.42695730426957	rs28381718	0.000496041039397381	0.251492806974472	D	c1	TRM	AMLonly	507
7	ABCB1	470	1000	87123178	87352639	400.309538555012	0.522477522477522	87.2537462537462	rs6946379	0.0132618570198788	6.72376150907855	D	c2	TRM	AMLonly	507
7	ABCB1	470	1000	87123178	87352639	786.602087581788	0.0829170829170829	13.8471528471528	rs1202184	0.005175	2.623725	D	M	TRM	AMLonly	507
7	ABCB1	470	1000	87123178	87352639	518.344144946533	0.330669330669331	55.2217782217783	rs1186746	0.00839274786360743	4.25512316684897	D	c1	DD	mixed	507
7	ABCB1	470	1000	87123178	87352639	205.873619907047	0.961038961038961	160.493506493506	rs28381866	0.016409559320151	8.31964657531656	D	c2	DD	mixed	507
7	ABCB1	470	1000	87123178	87352639	465.297404599741	0.412587412587413	68.902097902098	rs28381784	0.00556099999999998	2.81942699999999	D	M	DD	mixed	507
7	ABCB1	470	1000	87123178	87352639	527.90401212227	0.300699300699301	50.2167832167833	rs80238698	0.0012928615897104	0.655480825983173	D	c1	OS	mixed	507
7	ABCB1	470	1000	87123178	87352639	288.697254494303	0.837162837162837	139.806193806194	rs17064	0.00411873744063597	2.08819988240244	D	c2	OS	mixed	507
7	ABCB1	470	1000	87123178	87352639	407.535727580829	0.53946053946054	90.0899100899102	rs28381784	0.00268	1.35876	D	M	OS	mixed	507
7	ABCB1	470	1000	87123178	87352639	445.176334752794	0.450549450549451	75.2417582417583	rs80238698	0.00993125058068993	5.03514404440979	D	c1	PFS	mixed	507
7	ABCB1	470	1000	87123178	87352639	272.781656144859	0.858141858141858	143.30969030969	rs73198343	0.0265290187775725	13.4502125202293	D	c2	PFS	mixed	507
7	ABCB1	470	1000	87123178	87352639	433.207690613741	0.509490509490509	85.084915084915	rs112174094	0.00310399999999999	1.57372799999999	D	M	PFS	mixed	507
7	ABCB1	470	1000	87123178	87352639	665.221284983238	0.150849150849151	25.1918081918082	rs73705300	0.00160286855070169	0.812654355205757	D	c1	TRM	mixed	507
7	ABCB1	470	1000	87123178	87352639	375.516657307315	0.589410589410589	98.4315684315684	rs17064	0.00173631854800727	0.880313503839686	D	c2	TRM	mixed	507
7	ABCB1	470	1000	87123178	87352639	441.300315261278	0.475524475524476	79.4125874125875	rs181677517	0.0283000000000001	14.3481000000001	D	M	TRM	mixed	507
7	ABCB1	470	1000	87123178	87352639	447.802050316639	0.458541458541459	76.5764235764237	rs2888599	0.00724529441111488	3.67336426643524	D	c1	DD	noALL	507
7	ABCB1	470	1000	87123178	87352639	235.602380956294	0.922077922077922	153.987012987013	rs28381866	0.0149743736670926	7.59200744921595	D	c2	DD	noALL	507
7	ABCB1	470	1000	87123178	87352639	370.375701500479	0.635364635364635	106.105894105894	rs28381771	0.0154899999999999	7.85342999999995	D	M	DD	noALL	507
7	ABCB1	470	1000	87123178	87352639	500.640179624962	0.357642357642358	59.7262737262738	rs140228429	0.0104615132725524	5.30398722918407	D	c1	OS	noALL	507
